user_id,period,comm_id,comm_label
425752285,before,4,PD;AVS
425752285,during,3,PD;AVS
425752285,after,6,PD;AVS
1135141640,before,4,PD;AVS
1135141640,during,3,PD;AVS
1135141640,after,6,PD;AVS
425686235,before,4,PD;AVS
425686235,during,3,PD;AVS
425686235,after,6,PD;AVS
1662805520,during,3,PD;AVS
2207218850,during,3,PD;AVS
295961054,before,4,PD;AVS
295961054,during,3,PD;AVS
3372744029,before,4,PD;AVS
3372744029,during,3,PD;AVS
3372744029,after,4,PD;AVS
216654596,before,0,Az-Iv;L
216654596,during,0,Az-Iv
216654596,after,5,FdI;Az-Iv
1134357498,before,0,Az-Iv;L
1134357498,during,0,Az-Iv
1134357498,after,1,PD;Az-Iv
418814614,before,0,Az-Iv;L
418814614,during,0,Az-Iv
418814614,after,1,PD;Az-Iv
588200416,before,0,Az-Iv;L
588200416,during,0,Az-Iv
588200416,after,1,PD;Az-Iv
104485125,before,0,Az-Iv;L
104485125,during,0,Az-Iv
540701757,during,0,Az-Iv
1314572933340295168,before,0,Az-Iv;L
1314572933340295168,during,0,Az-Iv
1314572933340295168,after,1,PD;Az-Iv
1510780328,before,0,Az-Iv;L
58020070,during,0,Az-Iv
41391760,before,0,Az-Iv;L
41391760,during,0,Az-Iv
41391760,after,1,PD;Az-Iv
1061367398,before,0,Az-Iv;L
1061367398,after,1,PD;Az-Iv
523058143,during,0,Az-Iv
616886078,before,0,Az-Iv;L
616886078,during,0,Az-Iv
616886078,after,1,PD;Az-Iv
381062532,before,0,Az-Iv;L
381062532,during,0,Az-Iv
381062532,after,1,PD;Az-Iv
395183088,before,0,Az-Iv;L
395183088,during,0,Az-Iv
395183088,after,1,PD;Az-Iv
258861907,before,0,Az-Iv;L
258861907,during,0,Az-Iv
258861907,after,1,PD;Az-Iv
92556620,before,8,FI
92556620,during,4,FdI;L;PD;NM;FI
92556620,after,2,FdI;FI
319185099,before,8,FI
411432358,before,8,FI
212364488,before,8,FI
212364488,during,4,FdI;L;PD;NM;FI
1026144254,before,8,FI
4008843159,during,4,FdI;L;PD;NM;FI
529247064,before,8,FI
529247064,during,4,FdI;L;PD;NM;FI
529247064,after,2,FdI;FI
935723004,during,4,FdI;L;PD;NM;FI
935723004,after,2,FdI;FI
90337089,before,3,FdI;L
90337089,during,4,FdI;L;PD;NM;FI
1040271648082067458,during,4,FdI;L;PD;NM;FI
945729890,before,3,FdI;L
945729890,during,4,FdI;L;PD;NM;FI
945729890,after,2,FdI;FI
570163803,before,3,FdI;L
570163803,during,4,FdI;L;PD;NM;FI
321313255,during,4,FdI;L;PD;NM;FI
321313255,after,2,FdI;FI
82145527,before,3,FdI;L
82145527,during,4,FdI;L;PD;NM;FI
403051679,before,3,FdI;L
403051679,during,4,FdI;L;PD;NM;FI
403051679,after,2,FdI;FI
493029817,before,3,FdI;L
493029817,during,4,FdI;L;PD;NM;FI
493029817,after,2,FdI;FI
479830985,before,3,FdI;L
479830985,during,4,FdI;L;PD;NM;FI
479830985,after,2,FdI;FI
74544145,before,3,FdI;L
74544145,during,4,FdI;L;PD;NM;FI
74544145,after,2,FdI;FI
519867330,before,3,FdI;L
519867330,during,4,FdI;L;PD;NM;FI
519867330,after,2,FdI;FI
22127498,during,4,FdI;L;PD;NM;FI
84037226,during,2,FdI;M5s
702661167,before,3,FdI;L
702661167,during,4,FdI;L;PD;NM;FI
702661167,after,2,FdI;FI
373947833,during,4,FdI;L;PD;NM;FI
373947833,after,2,FdI;FI
404836757,after,12,NM;FdI
211191573,during,4,FdI;L;PD;NM;FI
211191573,after,2,FdI;FI
868257973,before,3,FdI;L
868257973,during,4,FdI;L;PD;NM;FI
868257973,after,2,FdI;FI
1039438621982502913,during,4,FdI;L;PD;NM;FI
1039438621982502913,after,2,FdI;FI
130537001,before,3,FdI;L
130537001,during,4,FdI;L;PD;NM;FI
130537001,after,2,FdI;FI
457827532,during,4,FdI;L;PD;NM;FI
272317881,during,4,FdI;L;PD;NM;FI
272317881,after,2,FdI;FI
421841453,before,3,FdI;L
421841453,during,4,FdI;L;PD;NM;FI
421841453,after,2,FdI;FI
493025647,during,4,FdI;L;PD;NM;FI
359933447,during,4,FdI;L;PD;NM;FI
359933447,after,2,FdI;FI
588694308,during,4,FdI;L;PD;NM;FI
588694308,after,2,FdI;FI
17242197,before,3,FdI;L
17242197,during,4,FdI;L;PD;NM;FI
17242197,after,2,FdI;FI
87467449,before,5,FdI
87467449,during,4,FdI;L;PD;NM;FI
87467449,after,5,FdI;Az-Iv
882601007338979328,during,4,FdI;L;PD;NM;FI
534770413,during,4,FdI;L;PD;NM;FI
425811911,during,4,FdI;L;PD;NM;FI
876541483,before,3,FdI;L
876541483,during,4,FdI;L;PD;NM;FI
106673706,during,4,FdI;L;PD;NM;FI
106673706,after,0,FdI;L
215187433,before,3,FdI;L
499715019,after,0,FdI;L
455378815,during,4,FdI;L;PD;NM;FI
578316055,during,4,FdI;L;PD;NM;FI
309937155,during,4,FdI;L;PD;NM;FI
941091986,before,3,FdI;L
941091986,during,4,FdI;L;PD;NM;FI
587805027,before,3,FdI;L
587805027,during,4,FdI;L;PD;NM;FI
587805027,after,0,FdI;L
61160450,before,0,Az-Iv;L
61160450,during,4,FdI;L;PD;NM;FI
61160450,after,0,FdI;L
520451294,during,4,FdI;L;PD;NM;FI
381443107,before,3,FdI;L
381443107,during,4,FdI;L;PD;NM;FI
381443107,after,0,FdI;L
963073442,during,2,FdI;M5s
963073442,after,3,M5s
999578121123848192,before,2,M5s
999578121123848192,during,2,FdI;M5s
999578121123848192,after,3,M5s
1003507623214370816,during,2,FdI;M5s
407163369,before,2,M5s
407163369,during,2,FdI;M5s
407163369,after,3,M5s
2149359853,before,2,M5s
577362844,during,2,FdI;M5s
577362844,after,3,M5s
373423842,during,4,FdI;L;PD;NM;FI
373423842,after,12,NM;FdI
398726169,before,4,PD;AVS
398726169,during,3,PD;AVS
492325083,before,4,PD;AVS
492325083,during,3,PD;AVS
492325083,after,4,PD;AVS
106560408,before,4,PD;AVS
106560408,during,3,PD;AVS
221902171,before,4,PD;AVS
221902171,during,3,PD;AVS
221902171,after,4,PD;AVS
385923471,before,4,PD;AVS
385923471,during,3,PD;AVS
1278510602,during,3,PD;AVS
461306712,after,6,PD;AVS
100218289,before,4,PD;AVS
100218289,during,3,PD;AVS
586037920,during,6,PD
46928097,during,3,PD;AVS
1030715161,before,4,PD;AVS
1030715161,during,3,PD;AVS
1870754606,during,4,FdI;L;PD;NM;FI
1074572754,during,6,PD
419622371,before,4,PD;AVS
419622371,during,3,PD;AVS
419622371,after,4,PD;AVS
588975097,during,3,PD;AVS
2389507018,during,3,PD;AVS
12514212,before,4,PD;AVS
12514212,after,4,PD;AVS
496437886,before,4,PD;AVS
496437886,during,3,PD;AVS
496437886,after,6,PD;AVS
960274334035128321,during,3,PD;AVS
65872738,before,4,PD;AVS
65872738,during,3,PD;AVS
65872738,after,4,PD;AVS
216361540,before,4,PD;AVS
216361540,during,3,PD;AVS
216361540,after,6,PD;AVS
1284790982672822272,during,3,PD;AVS
322933929,during,3,PD;AVS
430169858,before,4,PD;AVS
430169858,during,6,PD
430169858,after,6,PD;AVS
35298549,before,4,PD;AVS
35298549,during,3,PD;AVS
35298549,after,6,PD;AVS
331005596,during,3,PD;AVS
532545883,before,4,PD;AVS
532545883,during,3,PD;AVS
1022254674,before,4,PD;AVS
1022254674,during,3,PD;AVS
1022254674,after,4,PD;AVS
403544693,before,4,PD;AVS
455562995,before,0,Az-Iv;L
455562995,during,0,Az-Iv
455562995,after,1,PD;Az-Iv
420332560,before,0,Az-Iv;L
420332560,during,0,Az-Iv
420332560,after,1,PD;Az-Iv
590358735,during,0,Az-Iv
560636317,before,0,Az-Iv;L
560636317,during,0,Az-Iv
560636317,after,1,PD;Az-Iv
30248306,before,0,Az-Iv;L
30248306,during,0,Az-Iv
30248306,after,1,PD;Az-Iv
2416067982,before,0,Az-Iv;L
2416067982,during,0,Az-Iv
2416067982,after,1,PD;Az-Iv
18762875,before,0,Az-Iv;L
18762875,during,0,Az-Iv
18762875,after,1,PD;Az-Iv
903723812,before,0,Az-Iv;L
903723812,during,0,Az-Iv
903723812,after,1,PD;Az-Iv
447056150,during,0,Az-Iv
447056150,after,1,PD;Az-Iv
318316637,before,8,FI
318316637,during,4,FdI;L;PD;NM;FI
318316637,after,2,FdI;FI
920277002858500096,before,8,FI
920277002858500096,during,4,FdI;L;PD;NM;FI
413217587,before,8,FI
413217587,during,4,FdI;L;PD;NM;FI
413217587,after,2,FdI;FI
499911132,during,4,FdI;L;PD;NM;FI
376610294,before,3,FdI;L
376610294,during,4,FdI;L;PD;NM;FI
376610294,after,2,FdI;FI
919526072,before,3,FdI;L
919526072,during,4,FdI;L;PD;NM;FI
919526072,after,0,FdI;L
1047059160,before,3,FdI;L
1006296722,before,3,FdI;L
1006296722,during,4,FdI;L;PD;NM;FI
1006296722,after,2,FdI;FI
1462014699797680130,during,4,FdI;L;PD;NM;FI
1462014699797680130,after,2,FdI;FI
440815818,before,3,FdI;L
440815818,during,4,FdI;L;PD;NM;FI
440815818,after,2,FdI;FI
425933041,before,5,FdI
425933041,after,2,FdI;FI
201220925,before,3,FdI;L
201220925,during,4,FdI;L;PD;NM;FI
201220925,after,2,FdI;FI
247222140,before,3,FdI;L
247222140,during,4,FdI;L;PD;NM;FI
247222140,after,2,FdI;FI
847019750,after,14,FdI
517487632,during,4,FdI;L;PD;NM;FI
1101905808,during,4,FdI;L;PD;NM;FI
418028983,before,3,FdI;L
418028983,during,4,FdI;L;PD;NM;FI
418028983,after,2,FdI;FI
214476890,during,4,FdI;L;PD;NM;FI
337767301,before,3,FdI;L
337767301,during,4,FdI;L;PD;NM;FI
337767301,after,0,FdI;L
490522414,during,4,FdI;L;PD;NM;FI
234787615,before,3,FdI;L
1051906012104540161,during,4,FdI;L;PD;NM;FI
1051906012104540161,after,0,FdI;L
3358881567,during,4,FdI;L;PD;NM;FI
270839361,before,3,FdI;L
270839361,during,4,FdI;L;PD;NM;FI
270839361,after,0,FdI;L
2266891589,after,3,M5s
3062283743,during,2,FdI;M5s
428521248,before,4,PD;AVS
428521248,during,3,PD;AVS
428521248,after,4,PD;AVS
515229378,before,4,PD;AVS
515229378,during,3,PD;AVS
376399556,before,4,PD;AVS
376399556,during,3,PD;AVS
964460408,before,4,PD;AVS
964460408,during,3,PD;AVS
964460408,after,4,PD;AVS
424473892,before,4,PD;AVS
336975968,before,4,PD;AVS
473842449,before,4,PD;AVS
473842449,during,3,PD;AVS
473842449,after,6,PD;AVS
474175425,before,4,PD;AVS
474175425,during,3,PD;AVS
474175425,after,4,PD;AVS
940499085886480384,before,4,PD;AVS
940499085886480384,during,3,PD;AVS
940499085886480384,after,1,PD;Az-Iv
1556324421794660352,during,3,PD;AVS
484982241,during,3,PD;AVS
484982241,after,6,PD;AVS
259271842,before,4,PD;AVS
259271842,during,3,PD;AVS
259271842,after,4,PD;AVS
61154684,during,3,PD;AVS
297939596,during,3,PD;AVS
587802594,during,3,PD;AVS
1288696170,before,4,PD;AVS
1288696170,during,3,PD;AVS
