source,Party,weight
1001091645515935746,Partito Democratico,5
1001344387102727936,Azione - Italia Viva,9
1004874680,Azione - Italia Viva,14
1005980574,Azione - Italia Viva,53
1006400634,Movimento 5s,7
1009420195012792323,Partito Democratico,11
1010600056582492160,Partito Democratico,5
1017358212151078913,Movimento 5s,5
1022555336463532032,Azione - Italia Viva,15
1024976264,Fratelli d'Italia,374
1025657582185271296,Azione - Italia Viva,20
1025767333988581376,Partito Democratico,32
1029026187778170880,Partito Democratico,5
1035648571163521024,Partito Democratico,9
1036982799549513728,Movimento 5s,6
1039152966,Azione - Italia Viva,6
1042624093,Azione - Italia Viva,12
1045342676311314433,Partito Democratico,4
1047147926,Azione - Italia Viva,8
1050589128,Azione - Italia Viva,9
1050753675445104640,Lega,7
1054662974,Azione - Italia Viva,5
1055494906133839874,Azione - Italia Viva,11
1059361525109010432,Azione - Italia Viva,25
1059361525109010433,Azione - Italia Viva,74
1061317800,Azione - Italia Viva,6
1062583370,Lega,27
1064950180410269698,Azione - Italia Viva,6
1065679819,Fratelli d'Italia,5
1065698616,Azione - Italia Viva,9
1073355817,Azione - Italia Viva,14
1074410824595398657,Partito Democratico,5
1084786383414272000,Azione - Italia Viva,20
1091990374401359872,Azione - Italia Viva,6
1096445798286573568,Azione - Italia Viva,45
1097175085742469120,Azione - Italia Viva,34
1097617934128693254,Azione - Italia Viva,10
1100119884489523202,Partito Democratico,4
1103360481341902854,Azione - Italia Viva,148
1106146124606464000,Azione - Italia Viva,5
1110133442400931841,Partito Democratico,5
1111225376,Azione - Italia Viva,53
1111697667946659840,Movimento 5s,22
1112397484058427393,Lega,14
1115192245861404416,Alleanza Verdi Sinistra,17
1115192245861404672,Alleanza Verdi Sinistra,10
1131148316,Partito Democratico,6
1145548964,Azione - Italia Viva,56
1145745803526443008,Forza Italia,8
1148434987,Movimento 5s,6
1151521670,Azione - Italia Viva,20
115308284,Azione - Italia Viva,9
1155085159,Azione - Italia Viva,17
1159393215855976449,Movimento 5s,8
1163020839605985280,Partito Democratico,11
1169506849,Fratelli d'Italia,5
1176618985,Fratelli d'Italia,19
1180237460065996802,Partito Democratico,5
1184807557380091905,Fratelli d'Italia,5
1186918640425328640,Azione - Italia Viva,9
1190954724444561409,Azione - Italia Viva,7
119410254,Azione - Italia Viva,14
1200761366224809985,Lega,4
1208797459415207936,Azione - Italia Viva,18
1214604980616867842,Forza Italia,5
1220792838,Azione - Italia Viva,17
1222235658305052674,Movimento 5s,8
1224640123339407360,Azione - Italia Viva,33
1225791013433872384,Alleanza Verdi Sinistra,6
1237807159754264580,Azione - Italia Viva,90
1238080592618676224,Alleanza Verdi Sinistra,7
1244058540798619648,Partito Democratico,12
1245687281467392000,Azione - Italia Viva,11
1251781062063263745,Azione - Italia Viva,19
1253733537162952705,Partito Democratico,4
1254862259735715843,Azione - Italia Viva,8
1257520999,Azione - Italia Viva,7
1261628537573908480,Azione - Italia Viva,7
1277321199870193665,Alleanza Verdi Sinistra,4
1283515409992384513,Fratelli d'Italia,9
1291820133615271940,Partito Democratico,4
1292021606,Azione - Italia Viva,62
129424417,Azione - Italia Viva,16
1294641249446756355,Lega,21
1297115748972855297,Azione - Italia Viva,10
1300916262369984512,Azione - Italia Viva,7
130537001,Fratelli d'Italia,103
1313136197594746880,Fratelli d'Italia,8
1323186403614875648,Azione - Italia Viva,41
13294452,Partito Democratico,20
1333663080,Azione - Italia Viva,6
1344131071,Forza Italia,18
1344705505978179587,Azione - Italia Viva,14
13514762,Lega,72
1356156544229003265,Lega,32
1356214298851373062,Partito Democratico,25
1358868460516896776,Azione - Italia Viva,54
1374054774199492613,Azione - Italia Viva,32
1374652910,Azione - Italia Viva,8
1375113163323146240,Partito Democratico,4
1380142854,Partito Democratico,8
1383472028317982736,Fratelli d'Italia,37
1389244782548033542,Azione - Italia Viva,246
1390662355323924481,Fratelli d'Italia,6
1392484681149558786,Movimento 5s,6
1405502835001790464,Fratelli d'Italia,21
1408136039504433158,Partito Democratico,14
1413918667373522946,Partito Democratico,7
1430796741494939648,Movimento 5s,8
1438184759503556625,Partito Democratico,4
1447233287060180993,Movimento 5s,77
1450853940615127043,Lega,6
1460329441423507467,Partito Democratico,10
1460364651343003652,Azione - Italia Viva,7
1465578344804761603,Alleanza Verdi Sinistra,6
147543162,Forza Italia,15
1481689306905387010,Partito Democratico,4
1485525135365128192,Fratelli d'Italia,10
1486339456454074379,Movimento 5s,24
1490653054605176833,Fratelli d'Italia,12
1493698125659320326,Partito Democratico,8
1495855082734297095,Partito Democratico,14
1497085635873718285,Partito Democratico,6
1497243827207290889,Partito Democratico,11
1509247934784839681,Partito Democratico,4
1511340977327386628,Partito Democratico,20
1511935319402332164,Partito Democratico,18
1511955619925966848,Partito Democratico,4
1518885570461712384,Fratelli d'Italia,9
1519382878815199233,Lega,82
1530276078,Partito Democratico,17
1530871844,Azione - Italia Viva,9
1530983482159247360,Lega,6
1532548856713338885,Forza Italia,16
1532700886245466113,Partito Democratico,34
1540395000797741057,Movimento 5s,6
1542612311864754181,Fratelli d'Italia,38
1544093054,Azione - Italia Viva,40
1546464185940312064,Fratelli d'Italia,5
1548421651250917376,Azione - Italia Viva,5
1549811143023247362,Partito Democratico,6
1551982416364961792,Azione - Italia Viva,11
1553451882181427200,Partito Democratico,11
1553725585968562176,Partito Democratico,4
1556204171967201280,Azione - Italia Viva,34
1556455656,Azione - Italia Viva,74
1556698602780729346,Lega,30
1558074222932639744,Azione - Italia Viva,8
1559258885688623105,Azione - Italia Viva,14
1561968243727912960,Azione - Italia Viva,30
1562451305389379590,Azione - Italia Viva,11
1563611444049891329,Fratelli d'Italia,5
1567501160323350531,Azione - Italia Viva,105
1573771672691286018,Partito Democratico,61
1586042605,Azione - Italia Viva,15
1595228996,Azione - Italia Viva,47
167732599,Azione - Italia Viva,8
170024072,Partito Democratico,4
1710513018,Alleanza Verdi Sinistra,8
17849926,Partito Democratico,5
183287158,Azione - Italia Viva,48
1853644938,Azione - Italia Viva,7
18762875,Azione - Italia Viva,4
1886587626,Movimento 5s,91
1894205886,Azione - Italia Viva,23
1914835855,Azione - Italia Viva,32
1972520815,Partito Democratico,5
201421240,Partito Democratico,6
2171028731,Azione - Italia Viva,8
2174691850,Fratelli d'Italia,6
2184944111,Partito Democratico,6
2194037379,Partito Democratico,14
219802693,Partito Democratico,8
2201962850,Azione - Italia Viva,10
2207177382,Azione - Italia Viva,24
2216179636,Movimento 5s,29
2220186288,Partito Democratico,4
2243577362,Azione - Italia Viva,9
2252146516,Partito Democratico,4
225604191,Azione - Italia Viva,7
22659500,Azione - Italia Viva,11
2268796084,Azione - Italia Viva,73
2283375104,Azione - Italia Viva,21
229160327,Fratelli d'Italia,7
2321981176,Azione - Italia Viva,16
2326573022,Azione - Italia Viva,75
2328729294,Azione - Italia Viva,10
235323455,Partito Democratico,6
2364487620,Azione - Italia Viva,13
236939562,Azione - Italia Viva,17
238604711,Alleanza Verdi Sinistra,6
2399733986,Azione - Italia Viva,6
2416067982,Azione - Italia Viva,35
2420100298,Azione - Italia Viva,5
24388245,Partito Democratico,5
244867902,Azione - Italia Viva,6
2463073418,Forza Italia,24
2466589783,Partito Democratico,20
2479620311,Azione - Italia Viva,74
2480246000,Azione - Italia Viva,18
2496213907,Fratelli d'Italia,9
252676505,Partito Democratico,35
2572422991,Azione - Italia Viva,5
270839361,Lega,35
2719186852,Azione - Italia Viva,29
2772963950,Lega,10
279178016,Fratelli d'Italia,31
279196079,Fratelli d'Italia,11
2844269242,Azione - Italia Viva,28
28528873,Alleanza Verdi Sinistra,44
288115863,Partito Democratico,5
289400495,Movimento 5s,7
291763976,Azione - Italia Viva,8
29442185,Azione - Italia Viva,9
2945479804,Partito Democratico,8
2955233225,Lega,35
2956811146,Azione - Italia Viva,13
2983119910,Azione - Italia Viva,19
2986885877,Azione - Italia Viva,6
2987085023,Azione - Italia Viva,13
3000958830,Azione - Italia Viva,10
3014575779,Azione - Italia Viva,19
3078402187,Fratelli d'Italia,5
3092389516,Azione - Italia Viva,23
3094969685,Azione - Italia Viva,7
3155682418,Lega,30
3194573930,Partito Democratico,6
3239417698,Partito Democratico,5
327471759,Azione - Italia Viva,23
3288652618,Fratelli d'Italia,6
3290984981,Movimento 5s,9
3293203413,Fratelli d'Italia,5
3295067231,Partito Democratico,9
331223753,Partito Democratico,5
332885533,Movimento 5s,8
337095410,Movimento 5s,4
339094915,Azione - Italia Viva,82
3416780741,Fratelli d'Italia,14
3436897611,Azione - Italia Viva,7
349810156,Azione - Italia Viva,9
3546308429,Azione - Italia Viva,5
371781632,Azione - Italia Viva,16
372220527,Azione - Italia Viva,7
3793676127,Azione - Italia Viva,6
382542556,Azione - Italia Viva,7
38415203,Azione - Italia Viva,11
385897719,Partito Democratico,7
386574852,Azione - Italia Viva,11
392987772,Partito Democratico,4
398100478,Azione - Italia Viva,7
4002592367,Movimento 5s,6
401568347,Azione - Italia Viva,22
419622371,Partito Democratico,9
422062831,Azione - Italia Viva,7
424084271,Lega,70
424322762,Azione - Italia Viva,38
428469345,Fratelli d'Italia,7
432010151,Azione - Italia Viva,37
436499309,Azione - Italia Viva,10
442225392,Fratelli d'Italia,8
4480481955,Partito Democratico,7
44886581,Azione - Italia Viva,9
454018747,Azione - Italia Viva,6
455562995,Azione - Italia Viva,10
4579400249,Movimento 5s,4
458347992,Azione - Italia Viva,8
460226131,Azione - Italia Viva,11
46096501,Azione - Italia Viva,23
469286534,Fratelli d'Italia,5
473035394,Azione - Italia Viva,14
478570521,Partito Democratico,5
478723143,Azione - Italia Viva,6
482029224,Partito Democratico,8
4827907465,Azione - Italia Viva,7
4834916637,Partito Democratico,5
4877601425,Partito Democratico,14
492602588,Lega,92
50355977,Partito Democratico,10
507118418,Lega,102
51182604,Azione - Italia Viva,7
520206776,Azione - Italia Viva,6
52484014,Partito Democratico,4
540066448,Partito Democratico,6
541692979,Partito Democratico,6
559675568,Azione - Italia Viva,7
576267509,Azione - Italia Viva,9
586680141,Partito Democratico,4
58776884,Fratelli d'Italia,12
587782008,Azione - Italia Viva,11
5893702,Partito Democratico,4
593711002,Partito Democratico,9
608014210,Azione - Italia Viva,18
614101601,Fratelli d'Italia,6
618244710,Azione - Italia Viva,41
632742781,Partito Democratico,7
703956848836222977,Partito Democratico,4
713816113302388737,Lega,14
722919613,Azione - Italia Viva,28
724648551561728000,Azione - Italia Viva,23
734725512950603776,Azione - Italia Viva,23
737243526983999488,Azione - Italia Viva,7
746638522539466752,Partito Democratico,10
750670310,Azione - Italia Viva,43
752010888,Movimento 5s,9
75299581,Azione - Italia Viva,48
765555246,Movimento 5s,30
779713870877384704,Azione - Italia Viva,9
788101929977180161,Azione - Italia Viva,13
792793865489117184,Fratelli d'Italia,8
793367160341094400,Azione - Italia Viva,12
797679000,Lega,8
805784088040841216,Azione - Italia Viva,36
807179503239888896,Azione - Italia Viva,15
808215598488489984,Azione - Italia Viva,24
81028217,Azione - Italia Viva,8
815552279797448704,Partito Democratico,4
820489519,Lega,15
825986695287959553,Azione - Italia Viva,7
832590570925195266,Azione - Italia Viva,29
835122590,Azione - Italia Viva,21
837023040907116548,Partito Democratico,4
837278820088623104,Partito Democratico,4
843936690,Fratelli d'Italia,5
847121852,Movimento 5s,5
851456364,Azione - Italia Viva,21
852880495792852994,Azione - Italia Viva,5
853916380369956866,Azione - Italia Viva,13
859445258362466305,Fratelli d'Italia,14
878613406022078464,Azione - Italia Viva,23
881033998008373252,Azione - Italia Viva,13
881137152251318272,Azione - Italia Viva,12
886389183929077760,Partito Democratico,15
887300792654475265,Azione - Italia Viva,7
888311462950785024,Azione - Italia Viva,8
89014481,Azione - Italia Viva,7
890906840208474112,Partito Democratico,15
897417492569751552,Azione - Italia Viva,8
898261931475316736,Azione - Italia Viva,9
898851116145946624,Azione - Italia Viva,4
901024626402357248,Azione - Italia Viva,19
904559376,Azione - Italia Viva,4
906331746,Azione - Italia Viva,8
913718930404990977,Fratelli d'Italia,5
924067784,Azione - Italia Viva,16
930194618,Azione - Italia Viva,30
931597488,Azione - Italia Viva,28
934168829047042048,Azione - Italia Viva,7
937058662950100997,Lega,6
943999907949678593,Movimento 5s,6
948578516982956035,Movimento 5s,22
954090832965062657,Azione - Italia Viva,15
964719079,Fratelli d'Italia,19
966302477162303488,Azione - Italia Viva,16
966592213,Azione - Italia Viva,95
967799568015425542,Partito Democratico,5
971075728438710274,Azione - Italia Viva,16
971323446507589632,Azione - Italia Viva,66
971351566325370881,Partito Democratico,25
971365242847617024,Azione - Italia Viva,29
971444556502831105,Azione - Italia Viva,11
977184968693764098,Partito Democratico,5
977474849563140096,Azione - Italia Viva,18
983253218,Movimento 5s,10
986292469682855938,Partito Democratico,7
986594967043956737,Lega,63
989346433,Azione - Italia Viva,19
993804838705213441,Partito Democratico,8
997354591,Partito Democratico,13
998943681964068865,Movimento 5s,15
999578121123848192,Movimento 5s,21
